Division,District,Thana / Police Station,Thana Type,Area (km²),Population,Density (/km²),Year Estd.,OC Rank,Annual FIRs,Annual GDs,Flood Risk,Officers,Constables,Vehicles,Outposts,Detection Rate (%),Lockup,Male Pop.,Female Pop.,Urban Pop. (%),Working Age Pop.,Literacy Rate (%),Avg. HH Size,Total Roads (km),Paved Road (%),Electricity (%),Internet Users (%),Mobile Banking (%),Bank Branches,Hospitals/Clinics,Primary Schools,Weekly Markets,4G Coverage,Total Crimes (annual),Murder Cases,Robbery Cases,Theft Cases,Narcotics Cases,GBV/VAW Cases,Human Trafficking Risk,Cyclone Risk,Drought Risk,EPZ Zone,Port/Ferry Terminal,Border/Land Port,Tourist Area,River Police,Ethnic Minority Area,Poverty Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),Unemployment (%),E-Commerce Activity,Remittance Dependency
Barisal,Barguna,Amtali,Coastal,450,109341,243,1918,Inspector,164,495,Very High,31,74,3,2,71.9,0,54696,55194,18,66130,59.1,4.86,965.2,34.6,46.3,20.8,59.6,2,1,33,5,Partial,282,3,2,135,9,2,High,Very High,Low,No,No,No,No,No,No,31.5,47.0,11.0,42.0,3.6,Low,Low
Barisal,Barguna,Bamna,Rural,215,51982,242,1952,Inspector,77,261,Very High,11,36,1,2,59.4,0,24749,25427,12,30400,68.7,4.33,308.6,45.0,48.2,8.8,62.1,1,0,16,3,Limited,112,1,1,38,1,1,Low,Very High,Low,No,No,No,No,No,No,25.0,50.8,15.4,33.8,4.0,Low,Medium
Barisal,Barguna,Barguna Sadar,Sadar,285,133922,470,1875,Inspector,200,769,Very High,25,95,3,2,56.2,1,69978,70421,45,85261,68.5,4.87,388.3,57.8,69.2,27.8,70.8,4,1,35,9,Full,389,3,8,145,10,6,Low,Very High,Low,No,No,No,No,No,No,29.6,33.0,30.0,37.0,3.7,Medium,Low
Barisal,Barguna,Betagi,Rural,290,76625,264,1960,Inspector,116,423,Very High,13,49,1,2,80.3,0,41896,40302,12,50455,58.8,4.62,630.8,30.3,54.9,22.1,49.0,1,1,19,5,Limited,164,0,3,70,4,3,Low,Very High,Low,No,No,No,No,No,No,38.9,41.2,14.6,44.2,3.5,Low,Medium
Barisal,Barguna,Patharghata,Coastal,396,86069,217,1920,Inspector,91,493,Very High,27,65,3,5,48.8,0,46618,45361,18,55129,67.1,4.36,643.5,39.9,63.4,43.7,65.8,3,0,24,5,Partial,191,1,8,92,6,3,High,Very High,Low,No,No,No,No,No,No,25.2,47.8,19.3,32.9,4.7,Low,Low
Barisal,Barguna,Taltali,Coastal,402,61427,153,1970,Inspector,105,344,Very High,15,43,1,5,73.3,0,31203,31393,18,40140,76.9,4.04,574.2,35.1,54.0,24.2,62.0,1,0,17,3,Partial,148,2,2,49,4,2,High,Very High,Low,No,No,No,No,No,No,28.4,50.4,10.0,39.6,3.5,Low,Low
Barisal,Barguna,Naltona,Rural,160,39368,246,2008,Sub-Inspector,68,200,Very High,10,23,1,1,63.4,0,22084,21092,12,25689,64.9,4.18,131.4,43.8,51.0,15.5,40.8,1,0,10,2,Limited,87,0,3,41,3,2,Medium,Very High,Low,No,No,No,No,No,Yes,36.0,45.4,7.8,46.8,4.7,Low,Medium
Barisal,Barguna,Burirarchar,Coastal,210,48028,229,2010,Sub-Inspector,84,236,Very High,10,31,1,1,64.4,0,21513,21852,18,27858,58.7,3.88,220.3,41.4,49.3,39.4,68.6,1,0,12,2,Partial,118,1,3,49,4,2,High,Very High,Low,No,No,No,No,No,No,35.8,47.7,16.4,35.9,4.5,Low,Medium
Barisal,Barguna,Keorabunia,River,120,28018,233,2012,Sub-Inspector,50,200,Very High,8,17,1,1,42.4,0,16767,16040,14,19174,64.1,4.43,260.5,33.1,55.0,32.9,62.5,0,0,8,1,Limited,55,0,1,19,1,0,Low,Very High,Low,No,No,No,No,Yes,No,29.6,45.7,12.0,42.3,6.3,Low,Medium
Barisal,Barisal,Kotwali Barisal,Metropolitan,22,199978,9090,1872,Additional SP,216,984,Very High,58,162,8,0,63.8,1,121265,113985,90,142460,74.6,3.99,36.5,74.1,85.8,55.7,73.5,6,2,68,14,Full,818,4,11,405,11,11,Low,Very High,Low,No,No,No,No,No,No,5.1,11.3,41.2,47.5,4.7,High,Medium
Barisal,Barisal,Barisal Sadar,Sadar,36,157199,4367,1875,Inspector,147,723,Very High,49,120,6,0,70.7,1,79087,80153,45,99603,77.5,3.94,41.4,47.1,65.2,51.0,69.5,5,1,48,8,Full,305,3,11,143,6,4,Low,Very High,Low,No,No,No,No,No,No,25.3,29.0,22.0,49.0,5.2,Medium,Medium
Barisal,Barisal,Airport Barisal,Metropolitan,18,71250,3958,1980,Inspector,94,316,Very High,14,43,1,0,67.9,1,41100,38749,90,47954,71.0,3.72,38.2,83.7,82.2,59.8,65.6,2,1,23,3,Full,318,1,3,98,6,3,Medium,Very High,Low,No,No,No,No,No,No,14.8,15.0,36.5,48.5,4.1,High,Medium
Barisal,Barisal,Agailjhara,Rural,158,79615,504,1927,Inspector,107,467,Very High,19,40,2,1,45.8,0,43093,44718,12,55005,67.2,5.1,347.1,33.3,53.8,8.0,66.4,2,0,21,5,Limited,166,2,7,67,4,3,Low,Very High,Low,No,No,No,No,No,No,37.5,54.7,17.2,28.1,4.9,Low,Medium
Barisal,Barisal,Babuganj,Rural,160,84981,531,1932,Inspector,120,354,Very High,25,55,3,1,63.5,0,43596,40861,12,50708,68.7,4.28,204.3,36.5,45.9,26.1,56.1,2,1,27,4,Limited,133,2,6,45,3,5,Low,Very High,Low,No,No,No,No,No,Yes,27.2,44.5,16.4,39.1,3.9,Low,Medium
Barisal,Barisal,Bakerganj,Rural,361,182150,505,1910,Inspector,179,766,Very High,51,106,5,5,58.7,0,87964,87027,12,113678,65.8,3.77,635.5,48.5,56.6,24.8,54.0,6,2,63,10,Limited,335,5,13,127,9,9,Low,Very High,Low,No,No,No,No,No,No,34.9,42.9,19.7,37.4,6.3,Low,Medium
Barisal,Barisal,Banari Para,Rural,208,129673,623,1935,Inspector,149,550,Very High,34,81,4,3,65.1,0,57185,55031,12,72126,64.1,4.33,317.6,40.8,41.8,19.0,44.6,2,1,34,7,Limited,244,4,4,89,8,4,Medium,Very High,Low,No,No,No,No,No,No,28.1,50.9,21.8,27.3,6.2,Low,Medium
Barisal,Barisal,Gaurnadi,Rural,134,95107,710,1928,Inspector,100,419,Very High,28,63,2,1,52.5,0,59073,55248,12,72052,63.7,4.49,203.8,44.4,55.9,25.8,63.9,2,0,28,6,Limited,178,2,3,53,5,1,Medium,Very High,Low,No,No,No,No,No,No,25.5,53.9,8.6,37.5,6.3,Low,Low
Barisal,Barisal,Hizla,River,168,65465,390,1940,Inspector,69,338,Very High,17,36,1,1,85.6,0,36297,37182,14,42743,66.9,4.87,345.5,41.5,57.5,17.6,51.0,1,0,20,4,Limited,89,1,5,44,4,2,Low,Very High,Low,No,No,No,No,Yes,No,31.8,53.1,7.3,39.6,5.3,Low,Low
Barisal,Barisal,Mehendiganj,River,408,153410,376,1918,Inspector,187,844,Very High,29,88,2,4,61.1,0,79352,79780,14,101842,63.5,4.2,344.2,31.6,63.8,14.9,53.5,3,1,39,7,Limited,254,4,10,98,11,6,Medium,Very High,Low,No,No,No,No,Yes,No,27.7,55.0,5.0,40.0,5.1,Low,Medium
Barisal,Barisal,Muladi,Rural,205,90537,442,1930,Inspector,156,400,Very High,23,75,2,2,59.1,0,45868,43772,12,55368,61.8,4.47,307.2,42.1,59.9,14.3,70.5,3,0,25,4,Limited,210,3,8,67,8,1,Low,Very High,Low,No,No,No,No,No,No,28.1,41.7,10.8,47.5,6.0,Low,Medium
Barisal,Barisal,Wazirpur,Rural,200,104256,521,1932,Inspector,122,619,Very High,24,58,3,2,92.0,0,55486,56875,12,72040,58.7,4.37,230.6,40.8,59.3,35.0,45.8,3,1,32,7,Limited,145,2,5,54,8,4,Medium,Very High,Low,No,No,No,No,No,No,40.3,49.9,5.0,45.1,5.9,Low,Medium
Barisal,Barisal,Char Monai,River,95,41864,441,2002,Sub-Inspector,50,241,Very High,10,27,1,1,45.3,0,20608,21107,14,26090,63.1,4.94,129.1,31.1,54.1,23.2,68.7,1,0,11,2,Limited,59,0,2,21,1,0,Low,Very High,Low,No,No,No,No,Yes,No,32.2,53.4,9.3,37.3,2.9,Low,Medium
Barisal,Barisal,Nalchira,Rural,88,39269,446,2008,Sub-Inspector,50,200,Very High,8,27,1,0,50.2,0,19661,18856,12,25347,59.2,4.13,154.8,29.6,62.7,25.6,77.2,1,0,11,2,Limited,82,1,4,30,3,0,Medium,Very High,Low,No,No,No,No,No,No,37.3,44.1,21.8,34.1,4.7,Low,Low
Barisal,Barisal,Duarghat,River,75,30888,412,2010,Sub-Inspector,50,200,Very High,8,23,1,0,48.0,0,17138,17505,14,21787,69.1,4.12,100.4,57.1,50.4,22.4,41.8,0,0,8,2,Limited,65,0,1,28,1,1,Low,Very High,Low,No,No,No,No,Yes,No,37.4,53.0,11.0,36.0,5.9,Low,Low
Barisal,Barisal,Tungibaria,Rural,92,34613,376,2012,Sub-Inspector,50,200,Very High,10,20,1,1,63.5,0,18075,17604,12,23410,62.6,3.75,121.0,29.8,41.1,28.0,62.6,0,0,11,1,Limited,47,1,1,19,2,1,Low,Very High,Low,No,No,No,No,No,No,26.7,55.1,14.4,30.5,4.5,Low,Medium
Barisal,Barisal,Charbaria,Rural,140,45626,326,2016,Sub-Inspector,57,200,Very High,10,25,1,1,65.7,0,22171,22841,12,29192,60.9,4.22,230.7,29.1,58.6,23.5,44.1,1,0,12,3,Limited,103,1,3,35,1,1,Medium,Very High,Low,No,No,No,No,No,No,31.8,53.7,16.0,30.3,4.2,Low,Low
Barisal,Barisal,South Barisal,Metropolitan,35,64340,1838,2018,Inspector,81,358,Very High,13,41,1,0,62.1,1,36257,36058,90,44580,74.1,4.62,72.6,81.0,93.6,64.9,65.7,2,0,20,3,Full,286,1,5,118,3,2,Low,Very High,Low,No,No,No,No,No,No,16.7,15.7,44.2,40.1,3.7,High,Low
Barisal,Barisal,Barisal Industrial,Industrial,22,52540,2388,2015,Inspector,75,252,Very High,12,30,1,0,74.4,0,25530,23845,55,31970,69.5,4.92,23.5,55.8,67.1,43.7,80.6,1,0,16,2,Full,171,1,2,84,1,2,Low,Very High,Low,No,No,No,No,No,No,27.6,36.7,30.2,33.1,7.9,Medium,Low
Barisal,Barisal,Raipura Char,River,110,29460,268,2014,Sub-Inspector,50,200,Very High,8,21,1,1,50.2,0,14543,13622,14,18275,55.1,4.66,105.9,26.2,59.7,34.3,52.9,1,0,8,1,Limited,58,0,2,20,2,0,Medium,Very High,Low,No,No,No,No,Yes,No,32.8,46.1,13.1,40.8,2.7,Low,Low
Barisal,Bhola,Bhola Sadar,Sadar,310,212941,687,1890,Inspector,257,1129,Very High,51,128,5,2,55.1,1,104351,101837,45,125483,70.5,3.82,457.9,43.9,67.6,31.1,49.2,4,2,57,13,Full,582,6,5,277,9,8,Low,Very High,Low,No,No,No,No,No,No,21.9,41.6,31.0,27.4,4.6,Medium,Medium
Barisal,Bhola,Burhanuddin,Rural,302,112403,372,1920,Inspector,190,621,Very High,21,66,2,3,70.4,0,66136,63585,12,85121,68.8,4.9,399.7,41.1,51.8,17.7,65.6,2,1,34,7,Limited,252,3,10,120,11,3,Medium,Very High,Low,No,No,No,No,No,Yes,21.3,46.8,10.1,43.1,5.6,Low,Medium
Barisal,Bhola,Char Fasson,Coastal,580,227586,392,1918,Inspector,390,1325,Very High,58,142,8,6,39.0,0,129874,131236,18,152900,61.0,4.03,1075.4,34.2,60.1,35.7,56.2,6,2,60,14,Partial,567,6,9,194,20,9,High,Very High,Low,No,No,No,No,No,No,25.1,51.6,20.0,28.4,5.6,Low,Medium
Barisal,Bhola,Daulatkhan,River,221,87643,397,1928,Inspector,134,508,Very High,21,50,2,2,59.8,0,48579,45916,14,60188,63.5,3.93,214.6,39.7,60.5,16.0,51.1,2,1,29,4,Limited,122,1,6,49,7,3,Low,Very High,Low,No,No,No,No,Yes,No,29.4,60.4,24.4,15.2,5.0,Low,Low
Barisal,Bhola,Lalmohan,Rural,400,136033,340,1925,Inspector,215,754,Very High,26,100,3,5,79.1,0,75849,72056,12,93070,60.4,4.95,554.7,39.6,45.2,25.9,54.8,3,1,45,10,Limited,232,4,9,111,7,2,Low,Very High,Low,No,No,No,No,No,Yes,19.1,35.8,9.8,54.4,3.9,Low,Low
