Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity,Literacy Rate (%),Primary Schools,Secondary Schools,Colleges/Univ.,Madrasas,Net Enrolment Rate (%),District Hospitals,Upazila Health Complexes,Community Clinics,Registered Doctors,Nurses/Midwives,Immunisation Coverage (%),MMR (per 100k live births),Paved Road (% of total),Total Road Length (km),Electricity Access (%),Internet Penetration (%),Mobile Coverage (%),Bank Branches,Weekly Markets (Haats),Cultivable Land (%),Irrigated Land (%),Rice,Jute,Wheat,Vegetables,Fisheries,Tea,Agri Households (%),Safe Water Access (%),Improved Sanitation (%),Arsenic Risk Level,Surface Water Dependency,Water Treatment Plants,Open Defecation (%),Flood Risk,Cyclone Risk,Drought Risk,Riverbank Erosion,Climate Vulnerability,Disaster Mgmt (UDMCs),Cyclone Shelters,No. of Unions,Pourashava (Municipality),Pourashava Wards,Parliamentary Constituency,Land Registration Offices,Police Stations/Outposts,Poverty Rate (%),HDI Index,Remittance Dependency,NGO Presence (count),Microfinance Institutions,Food Security Level,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration,Sex Ratio (F per 100M),Child Marriage Rate (%),Women's Education (%),Female Labour Force (%),Women in Local Govt (%),Skilled Birth Attendance (%),Girls in School (%),GBV Support Centre,Highway Length (km),Railway Station,River/Launch Port,Ferry Service,Airport/Airstrip,Bus Terminal,Major Bridges,Key River(s),Nearest Seaport,Avg. Household Size,Pucca Housing (%),Semi-Pucca Housing (%),Kutcha Housing (%),Overcrowding (%),TV Ownership (%),Mobile Phone Ownership (%),Primary Cooking Fuel,Avg. Rooms per HH,Muslim (%),Hindu (%),Buddhist (%),Christian & Other (%),Ethnic/Indigenous Groups,Primary Language(s),Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Barisal,Barguna,Amtali,680.17,212000,312,18,"Fishing, Agriculture",64.1,79,24,5,15,72.9,3,4,11,76,122,89.0,267,38,711.0,67.7,43.6,87.4,6,12,72.5,47.0,Yes,Some,Some,Yes,Yes,No,60.1,70.0,63.3,Low,Yes,1,7.0,Very High,Very High,Low,High,Very High,Partial,7,27,0,,Constituency 1,4,3,22.2,0.586,Medium,7,12,Medium,102659,5.2,50.5,16.4,33.1,No,85.7,9.6,Low,96.3,46.0,57.8,40.0,26.0,73.1,49.9,Partial,14.4,Yes,Yes,Yes,No,Yes,14,"Kirtankhola, Bishkhali, Meghna",Mongla,5.05,25.6,36.0,38.4,34.8,42.7,74.4,Biomass/Wood,4.0,92.0,7.0,0.0,0.9,Bengali,Bengali (Standard),36.4,59.2,Low,2,5,30.4,33,Partial,48
Barisal,Barguna,Bamna,214.86,82000,381,12,Agriculture,65.1,32,8,1,5,71.9,1,1,4,22,50,79.5,291,41,351.0,48.9,44.8,72.3,2,6,51.8,59.9,Yes,Some,Some,Yes,Some,No,50.8,60.8,52.6,Medium,Yes,0,10.4,Very High,Very High,Low,High,Very High,Partial,2,7,1,15.0,Constituency 2,1,1,22.8,0.563,Medium,8,3,Medium,41087,2.3,46.2,9.0,44.8,No,78.6,8.6,Low,103.7,40.4,65.3,38.2,37.0,67.3,50.4,No,47.5,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.22,13.4,23.4,63.2,33.3,52.9,72.6,Biomass/Wood,2.9,86.6,6.7,0.2,6.4,Bengali,Bengali (Standard),37.0,59.4,Low,1,0,29.8,5,Limited,19
Barisal,Barguna,Barguna Sadar,484.25,215000,444,28,"Trade, Fishing",68.8,89,27,4,14,75.4,2,4,11,90,137,95.2,292,65,1158.7,70.6,30.7,83.6,8,11,60.8,33.9,Yes,Some,Some,Yes,Yes,No,43.2,80.2,71.0,Low,Yes,1,6.2,Very High,Very High,Low,High,Very High,UDMCs,8,19,1,11.0,Constituency 3,3,3,25.9,0.562,Low,8,10,Medium,110536,4.2,46.6,18.6,34.8,Some,73.2,7.1,Medium,101.0,35.1,56.6,44.0,32.2,67.7,54.4,Partial,10.3,Yes,Yes,Yes,No,Yes,7,"Kirtankhola, Bishkhali, Meghna",Mongla,3.71,33.7,37.1,29.2,26.8,62.2,79.1,LPG/Biomass,2.6,88.5,13.8,0.2,0.0,Bengali,Bengali (Standard),45.3,62.2,Low,3,4,25.6,19,Partial,39
Barisal,Barguna,Betagi,290.06,130000,448,15,Agriculture,64.4,56,17,3,7,73.0,1,3,7,36,88,80.7,273,57,530.8,65.1,22.6,82.1,4,7,63.7,61.0,Yes,Some,Some,Yes,Some,No,67.7,71.2,68.4,Low,Yes,0,6.2,Very High,Very High,Low,High,Very High,Partial,6,13,0,,Constituency 4,1,2,29.2,0.589,Medium,12,7,Medium,62443,6.4,45.8,16.1,38.1,No,72.2,9.2,Low,99.3,40.9,59.2,34.7,37.8,73.8,52.0,No,13.6,No,Yes,Yes,No,Partial,5,"Kirtankhola, Bishkhali, Meghna",Mongla,4.69,17.1,25.5,57.4,32.5,63.2,81.0,Biomass/Wood,2.2,86.0,13.4,0.3,0.2,Bengali,Bengali (Standard),36.7,56.3,Low,1,0,24.9,12,Limited,30
Barisal,Barguna,Patharghata,396.23,145000,366,16,"Fishing, Agriculture",67.9,50,15,4,10,72.4,1,3,6,62,83,82.9,282,42,525.3,57.3,40.3,74.0,5,8,55.9,42.3,Yes,Some,Some,Yes,Yes,No,56.6,71.3,65.9,Low,Yes,0,12.8,Very High,Very High,Low,High,Very High,UDMCs,6,15,0,,Constituency 5,2,2,25.6,0.574,Medium,12,8,Medium,66766,6.0,65.2,10.2,24.6,No,76.4,7.1,Medium,101.9,37.5,69.3,26.4,34.5,68.1,51.5,Partial,43.3,No,Yes,Yes,No,Partial,6,"Kirtankhola, Bishkhali, Meghna",Mongla,4.11,19.0,33.1,47.9,25.6,57.7,78.5,Biomass/Wood,2.4,91.4,9.4,0.9,0.0,Bengali,Bengali (Standard),39.8,63.1,Low,1,1,19.9,10,Partial,30
Barisal,Barguna,Taltali,402.13,115000,286,11,"Fishing, Agriculture",65.9,46,16,2,7,65.5,1,2,5,32,68,79.5,324,50,908.0,48.8,41.8,63.4,3,6,50.6,37.7,Yes,Some,Some,Yes,Yes,No,60.2,61.9,72.1,Low,Yes,0,11.5,Very High,Very High,Low,High,Very High,UDMCs,4,19,0,,Constituency 6,2,2,32.5,0.557,Low,4,4,Medium,59639,4.5,53.3,16.5,30.2,No,76.9,8.0,Medium,95.3,41.3,53.3,31.6,31.4,63.1,52.4,No,11.9,No,Yes,Yes,No,Yes,6,"Kirtankhola, Bishkhali, Meghna",Mongla,3.87,15.0,29.4,55.6,22.7,55.5,74.0,Biomass/Wood,2.4,89.3,10.6,0.9,0.0,Bengali,Bengali (Standard),31.1,65.9,Low,1,0,27.2,2,Limited,29
Barisal,Barisal,Agailjhara,158.17,138000,873,14,"Agriculture, Fishing",66.8,61,17,3,7,67.3,1,2,6,42,100,91.3,297,51,189.8,70.2,36.1,85.0,5,9,49.4,17.1,Yes,Some,Some,Yes,Yes,No,49.1,62.3,47.0,Medium,Yes,0,8.8,Very High,Very High,Low,High,Very High,Partial,5,6,0,,Constituency 7,1,2,25.2,0.578,Medium,12,5,Medium,71618,6.7,45.7,16.0,38.3,No,78.2,9.0,Medium,96.0,36.5,57.8,21.2,39.7,68.1,52.4,No,39.8,No,Yes,Yes,No,Yes,2,"Kirtankhola, Bishkhali, Meghna",Mongla,3.73,20.7,19.9,59.4,36.0,47.1,76.0,Biomass/Wood,2.4,89.0,12.5,0.8,0.0,Bengali,Bengali (Standard),29.1,60.6,Low,1,0,10.9,3,Limited,41
Barisal,Barisal,Babuganj,160.23,158000,987,16,Agriculture,64.9,55,18,3,9,77.7,1,3,7,52,120,79.3,285,55,337.0,59.3,34.2,81.4,6,10,59.1,32.0,Yes,Some,Some,Yes,Some,No,62.9,73.0,64.4,Low,Yes,0,10.4,Very High,Very High,Low,High,Very High,UDMCs,7,6,0,,Constituency 8,1,2,32.4,0.548,Medium,14,7,Medium,73449,4.5,48.9,15.4,35.7,No,78.1,9.4,Medium,98.5,39.9,64.6,41.8,25.0,60.5,49.7,Partial,28.7,No,Yes,Yes,No,Yes,2,"Kirtankhola, Bishkhali, Meghna",Mongla,4.93,22.9,39.8,37.3,35.7,47.7,75.5,Biomass/Wood,2.9,86.1,11.6,0.0,2.2,Bengali,Bengali (Standard),29.0,57.0,Low,1,4,18.6,18,Partial,31
Barisal,Barisal,Bakerganj,361.73,355000,982,18,"Agriculture, Trade",62.2,136,40,8,27,70.2,4,6,16,142,217,76.3,310,37,806.6,53.0,30.7,65.6,13,26,64.3,59.7,Yes,Some,Some,Yes,Some,No,54.7,64.1,59.1,Medium,Yes,1,8.1,Very High,Very High,Low,High,Very High,UDMCs,25,12,1,12.0,Constituency 9,2,4,31.7,0.56,Medium,15,21,Medium,167577,5.1,44.9,17.2,37.9,No,81.0,8.9,Medium,100.8,41.9,62.2,28.6,36.1,69.4,52.5,Partial,38.0,No,Yes,Yes,No,Partial,7,"Kirtankhola, Bishkhali, Meghna",Mongla,4.57,12.4,49.6,38.0,31.4,57.6,75.6,Biomass/Wood,2.7,85.1,9.7,0.3,4.8,Bengali,Bengali (Standard),29.7,70.2,Low,4,9,27.5,36,Partial,102
Barisal,Barisal,Banari Para,208.45,215000,1032,14,Agriculture,60.8,77,28,4,13,67.9,2,4,11,73,166,92.3,317,46,346.2,55.0,40.7,78.0,7,11,60.3,31.4,Yes,Some,Some,Yes,Some,No,60.1,72.8,52.9,Low,Yes,1,8.0,Very High,Very High,Low,High,Very High,UDMCs,12,7,1,9.0,Constituency 10,1,3,30.3,0.586,Low,16,11,Medium,103464,4.1,35.9,21.7,42.4,No,85.2,8.5,Medium,104.6,40.9,59.4,30.3,35.5,70.6,53.4,No,35.5,No,Yes,Yes,No,Yes,3,"Kirtankhola, Bishkhali, Meghna",Mongla,4.29,22.8,36.8,40.4,31.2,53.6,74.0,Biomass/Wood,2.3,85.7,12.7,0.1,1.4,Bengali,Bengali (Standard),41.8,63.5,Low,3,0,20.9,26,Limited,53
