Division,District,Upazila,Area (km²),Population,Pop. Density (/km²),Urban Pop. %,Main Economic Activity
Barisal,Barguna,Amtali,680.17,212000,312,18,"Fishing, Agriculture"
Barisal,Barguna,Bamna,214.86,82000,381,12,Agriculture
Barisal,Barguna,Barguna Sadar,484.25,215000,444,28,"Trade, Fishing"
Barisal,Barguna,Betagi,290.06,130000,448,15,Agriculture
Barisal,Barguna,Patharghata,396.23,145000,366,16,"Fishing, Agriculture"
Barisal,Barguna,Taltali,402.13,115000,286,11,"Fishing, Agriculture"
Barisal,Barisal,Agailjhara,158.17,138000,873,14,"Agriculture, Fishing"
Barisal,Barisal,Babuganj,160.23,158000,987,16,Agriculture
Barisal,Barisal,Bakerganj,361.73,355000,982,18,"Agriculture, Trade"
Barisal,Barisal,Banari Para,208.45,215000,1032,14,Agriculture
Barisal,Barisal,Barisal Sadar,58.08,612000,10537,85,"Trade, Services, Industry"
Barisal,Barisal,Gaurnadi,134.48,188000,1398,22,"Agriculture, Trade"
Barisal,Barisal,Hizla,167.74,135000,805,12,"Fishing, Agriculture"
Barisal,Barisal,Mehendiganj,408.73,310000,759,15,"Agriculture, Fishing"
Barisal,Barisal,Muladi,204.91,188000,918,16,Agriculture
Barisal,Barisal,Wazirpur,200.53,198000,987,17,"Agriculture, Trade"
Barisal,Bhola,Bhola Sadar,648.78,375000,578,30,"Trade, Agriculture"
Barisal,Bhola,Burhanuddin,302.15,220000,728,18,Agriculture
Barisal,Bhola,Char Fasson,1115.66,465000,417,14,"Fishing, Agriculture"
Barisal,Bhola,Daulatkhan,221.32,168000,759,16,"Agriculture, Fishing"
Barisal,Bhola,Lalmohan,399.75,280000,700,17,Agriculture
Barisal,Bhola,Manpura,373.06,98000,263,10,"Fishing, Agriculture"
Barisal,Bhola,Tazumuddin,216.94,148000,682,13,"Agriculture, Fishing"
Barisal,Jhalokati,Jhalokati Sadar,309.44,205000,662,28,"Trade, Agriculture"
Barisal,Jhalokati,Kathalia,220.67,138000,625,13,Agriculture
Barisal,Jhalokati,Nalchity,192.13,128000,666,14,Agriculture
Barisal,Jhalokati,Rajapur,214.25,148000,691,15,"Agriculture, Trade"
Barisal,Patuakhali,Bauphal,573.84,295000,514,15,"Agriculture, Fishing"
Barisal,Patuakhali,Dashmina,318.49,168000,527,13,"Fishing, Agriculture"
Barisal,Patuakhali,Dumki,115.32,98000,850,14,Agriculture
Barisal,Patuakhali,Galachipa,1011.04,315000,311,14,"Fishing, Agriculture"
Barisal,Patuakhali,Kalapara,1002.45,298000,297,16,"Fishing, Agriculture"
Barisal,Patuakhali,Mirzaganj,213.54,138000,646,14,Agriculture
Barisal,Patuakhali,Patuakhali Sadar,462.16,295000,638,32,"Trade, Services"
Barisal,Patuakhali,Rangabali,482.33,95000,197,10,Fishing
Barisal,Pirojpur,Bhandaria,212.91,155000,728,16,Agriculture
Barisal,Pirojpur,Kawkhali,176.23,128000,727,15,Agriculture
Barisal,Pirojpur,Mathbaria,406.23,248000,611,16,"Agriculture, Fishing"
Barisal,Pirojpur,Nazirpur,279.87,208000,743,15,Agriculture
Barisal,Pirojpur,Pirojpur Sadar,340.35,248000,729,30,"Trade, Agriculture"
Barisal,Pirojpur,Nesarabad,265.44,192000,723,15,Agriculture
Barisal,Pirojpur,Zianagar,183.56,138000,752,13,Agriculture
Chittagong,Bandarban,Ali Kadam,1046.26,58000,55,8,"Agriculture, Forestry"
Chittagong,Bandarban,Bandarban Sadar,1167.52,118000,101,35,"Tourism, Trade"
Chittagong,Bandarban,Lama,787.38,125000,159,12,"Agriculture, Forestry"
Chittagong,Bandarban,Naikhongchhari,1076.41,68000,63,8,"Agriculture, Forestry"
Chittagong,Bandarban,Rowangchhari,428.32,52000,121,10,"Agriculture, Forestry"
Chittagong,Bandarban,Ruma,1083.01,45000,42,8,"Agriculture, Forestry"
Chittagong,Bandarban,Thanchi,1284.03,38000,30,7,"Agriculture, Forestry"
Chittagong,Brahmanbaria,Akhaura,96.83,198000,2045,45,"Trade, Industry"
Chittagong,Brahmanbaria,Ashuganj,118.26,215000,1818,40,"Industry, Energy"
Chittagong,Brahmanbaria,Bancharampur,225.23,268000,1190,18,Agriculture
Chittagong,Brahmanbaria,Bijoynagar,178.45,198000,1110,15,Agriculture
