Division,District,Upazila,Flood Risk,Cyclone Risk,Drought Risk,Riverbank Erosion,Climate Vulnerability,Disaster Mgmt (UDMCs),Cyclone Shelters
Barisal,Barguna,Amtali,Very High,Very High,Low,High,Very High,Partial,7
Barisal,Barguna,Bamna,Very High,Very High,Low,High,Very High,Partial,2
Barisal,Barguna,Barguna Sadar,Very High,Very High,Low,High,Very High,UDMCs,8
Barisal,Barguna,Betagi,Very High,Very High,Low,High,Very High,Partial,6
Barisal,Barguna,Patharghata,Very High,Very High,Low,High,Very High,UDMCs,6
Barisal,Barguna,Taltali,Very High,Very High,Low,High,Very High,UDMCs,4
Barisal,Barisal,Agailjhara,Very High,Very High,Low,High,Very High,Partial,5
Barisal,Barisal,Babuganj,Very High,Very High,Low,High,Very High,UDMCs,7
Barisal,Barisal,Bakerganj,Very High,Very High,Low,High,Very High,UDMCs,25
Barisal,Barisal,Banari Para,Very High,Very High,Low,High,Very High,UDMCs,12
Barisal,Barisal,Barisal Sadar,Very High,Very High,Low,High,Very High,Partial,39
Barisal,Barisal,Gaurnadi,Very High,Very High,Low,High,Very High,UDMCs,8
Barisal,Barisal,Hizla,Very High,Very High,Low,High,Very High,UDMCs,10
Barisal,Barisal,Mehendiganj,Very High,Very High,Low,High,Very High,Partial,21
Barisal,Barisal,Muladi,Very High,Very High,Low,High,Very High,Partial,10
Barisal,Barisal,Wazirpur,Very High,Very High,Low,High,Very High,UDMCs,13
Barisal,Bhola,Bhola Sadar,Very High,Very High,Low,High,Very High,UDMCs,17
Barisal,Bhola,Burhanuddin,Very High,Very High,Low,High,Very High,UDMCs,12
Barisal,Bhola,Char Fasson,Very High,Very High,Low,High,Very High,UDMCs,30
Barisal,Bhola,Daulatkhan,Very High,Very High,Low,High,Very High,UDMCs,4
Barisal,Bhola,Lalmohan,Very High,Very High,Low,High,Very High,UDMCs,18
Barisal,Bhola,Manpura,Very High,Very High,Low,High,Very High,UDMCs,3
Barisal,Bhola,Tazumuddin,Very High,Very High,Low,High,Very High,UDMCs,8
Barisal,Jhalokati,Jhalokati Sadar,Very High,Very High,Low,High,Very High,UDMCs,10
Barisal,Jhalokati,Kathalia,Very High,Very High,Low,High,Very High,UDMCs,9
Barisal,Jhalokati,Nalchity,Very High,Very High,Low,High,Very High,UDMCs,7
Barisal,Jhalokati,Rajapur,Very High,Very High,Low,High,Very High,UDMCs,6
Barisal,Patuakhali,Bauphal,Very High,Very High,Low,High,Very High,UDMCs,19
Barisal,Patuakhali,Dashmina,Very High,Very High,Low,High,Very High,UDMCs,10
Barisal,Patuakhali,Dumki,Very High,Very High,Low,High,Very High,UDMCs,5
Barisal,Patuakhali,Galachipa,Very High,Very High,Low,High,Very High,UDMCs,8
Barisal,Patuakhali,Kalapara,Very High,Very High,Low,High,Very High,UDMCs,13
Barisal,Patuakhali,Mirzaganj,Very High,Very High,Low,High,Very High,UDMCs,8
Barisal,Patuakhali,Patuakhali Sadar,Very High,Very High,Low,High,Very High,UDMCs,20
Barisal,Patuakhali,Rangabali,Very High,Very High,Low,High,Very High,UDMCs,6
Barisal,Pirojpur,Bhandaria,Very High,Very High,Low,High,Very High,UDMCs,5
Barisal,Pirojpur,Kawkhali,Very High,Very High,Low,High,Very High,UDMCs,6
Barisal,Pirojpur,Mathbaria,Very High,Very High,Low,High,Very High,UDMCs,9
Barisal,Pirojpur,Nazirpur,Very High,Very High,Low,High,Very High,UDMCs,5
Barisal,Pirojpur,Pirojpur Sadar,Very High,Very High,Low,High,Very High,Partial,17
Barisal,Pirojpur,Nesarabad,Very High,Very High,Low,High,Very High,Partial,7
Barisal,Pirojpur,Zianagar,Very High,Very High,Low,High,Very High,UDMCs,3
Chittagong,Bandarban,Ali Kadam,High,High,Low,Medium,High,UDMCs,2
Chittagong,Bandarban,Bandarban Sadar,High,High,Low,Low,High,UDMCs,7
Chittagong,Bandarban,Lama,High,High,Low,Low,High,UDMCs,6
Chittagong,Bandarban,Naikhongchhari,High,High,Low,Low,High,UDMCs,4
Chittagong,Bandarban,Rowangchhari,High,High,Low,Medium,High,UDMCs,2
Chittagong,Bandarban,Ruma,High,High,Low,Medium,High,Partial,3
Chittagong,Bandarban,Thanchi,High,High,Low,Low,High,UDMCs,1
Chittagong,Brahmanbaria,Akhaura,High,High,Low,Low,High,Partial,14
Chittagong,Brahmanbaria,Ashuganj,High,High,Low,Medium,High,UDMCs,11
Chittagong,Brahmanbaria,Bancharampur,High,High,Low,Low,High,UDMCs,7
Chittagong,Brahmanbaria,Bijoynagar,High,High,Low,Medium,High,UDMCs,5
Chittagong,Brahmanbaria,Brahmanbaria Sadar,High,High,Low,Low,High,UDMCs,17
Chittagong,Brahmanbaria,Kasba,High,High,Low,Medium,High,UDMCs,15
Chittagong,Brahmanbaria,Nabinagar,High,High,Low,Medium,High,Partial,11
Chittagong,Brahmanbaria,Nasirnagar,High,High,Low,Low,High,UDMCs,12
Chittagong,Brahmanbaria,Sarail,High,High,Low,Medium,High,UDMCs,7
Chittagong,Chandpur,Chandpur Sadar,High,High,Low,Medium,High,UDMCs,24
Chittagong,Chandpur,Faridganj,High,High,Low,Low,High,Partial,19
Chittagong,Chandpur,Haimchar,High,High,Low,Medium,High,UDMCs,10
Chittagong,Chandpur,Haziganj,High,High,Low,Low,High,UDMCs,7
Chittagong,Chandpur,Kachua,High,High,Low,Medium,High,UDMCs,12
Chittagong,Chandpur,Matlab Dakshin,High,High,Low,Low,High,UDMCs,8
Chittagong,Chandpur,Matlab Uttar,High,High,Low,Low,High,UDMCs,10
Chittagong,Chandpur,Shahrasti,High,High,Low,Low,High,Partial,14
Chittagong,Chittagong,Anwara,High,High,Low,Medium,High,UDMCs,15
Chittagong,Chittagong,Banshkhali,High,High,Low,Medium,High,UDMCs,28
Chittagong,Chittagong,Boalkhali,High,High,Low,Low,High,UDMCs,13
Chittagong,Chittagong,Chandanaish,High,High,Low,Medium,High,Partial,17
Chittagong,Chittagong,Chittagong Sadar,High,High,Low,Medium,High,UDMCs,41
Chittagong,Chittagong,Fatikchhari,High,High,Low,Low,High,UDMCs,14
Chittagong,Chittagong,Hathazari,High,High,Low,Medium,High,UDMCs,14
Chittagong,Chittagong,Karnaphuli,High,High,Low,Low,High,UDMCs,17
Chittagong,Chittagong,Lohagara,High,High,Low,Medium,High,Partial,18
Chittagong,Chittagong,Mirsharai,High,High,Low,Low,High,UDMCs,30
Chittagong,Chittagong,Patiya,High,High,Low,Low,High,UDMCs,18
Chittagong,Chittagong,Rangunia,High,High,Low,Medium,High,Partial,9
Chittagong,Chittagong,Raozan,High,High,Low,Low,High,Partial,13
Chittagong,Chittagong,Sandwip,High,High,Low,Medium,High,UDMCs,20
Chittagong,Chittagong,Satkania,High,High,Low,Low,High,UDMCs,26
Chittagong,Chittagong,Sitakunda,High,High,Low,Medium,High,Partial,25
Chittagong,Comilla,Barura,High,High,Low,Medium,High,UDMCs,9
Chittagong,Comilla,Brahmanpara,High,High,Low,Low,High,UDMCs,17
