Division,District,Upazila,Poverty Rate (%),HDI Index,Remittance Dependency,NGO Presence (count),Microfinance Institutions,Food Security Level
Barisal,Barguna,Amtali,22.2,0.586,Medium,7,12,Medium
Barisal,Barguna,Bamna,22.8,0.563,Medium,8,3,Medium
Barisal,Barguna,Barguna Sadar,25.9,0.562,Low,8,10,Medium
Barisal,Barguna,Betagi,29.2,0.589,Medium,12,7,Medium
Barisal,Barguna,Patharghata,25.6,0.574,Medium,12,8,Medium
Barisal,Barguna,Taltali,32.5,0.557,Low,4,4,Medium
Barisal,Barisal,Agailjhara,25.2,0.578,Medium,12,5,Medium
Barisal,Barisal,Babuganj,32.4,0.548,Medium,14,7,Medium
Barisal,Barisal,Bakerganj,31.7,0.56,Medium,15,21,Medium
Barisal,Barisal,Banari Para,30.3,0.586,Low,16,11,Medium
Barisal,Barisal,Barisal Sadar,14.0,0.647,Low,52,36,High
Barisal,Barisal,Gaurnadi,32.0,0.581,Medium,9,9,Medium
Barisal,Barisal,Hizla,30.9,0.567,Medium,12,7,Medium
Barisal,Barisal,Mehendiganj,34.5,0.585,Low,29,18,Medium
Barisal,Barisal,Muladi,30.1,0.571,Medium,15,8,Medium
Barisal,Barisal,Wazirpur,34.7,0.607,Medium,12,11,Medium
Barisal,Bhola,Bhola Sadar,23.0,0.579,Medium,28,19,Medium
Barisal,Bhola,Burhanuddin,30.4,0.584,Low,19,10,Medium
Barisal,Bhola,Char Fasson,31.8,0.559,Medium,26,15,Medium
Barisal,Bhola,Daulatkhan,20.3,0.541,Low,14,9,Medium
Barisal,Bhola,Lalmohan,26.2,0.584,Medium,12,11,Medium
Barisal,Bhola,Manpura,26.6,0.626,Low,6,5,Medium
Barisal,Bhola,Tazumuddin,28.9,0.569,Low,7,6,Medium
Barisal,Jhalokati,Jhalokati Sadar,36.9,0.632,Medium,15,7,Low
Barisal,Jhalokati,Kathalia,31.9,0.61,Low,9,6,Medium
Barisal,Jhalokati,Nalchity,33.5,0.593,Medium,6,5,Medium
Barisal,Jhalokati,Rajapur,31.1,0.566,Low,5,6,Medium
Barisal,Patuakhali,Bauphal,24.9,0.592,Medium,19,14,Medium
Barisal,Patuakhali,Dashmina,20.1,0.54,Low,12,8,Medium
Barisal,Patuakhali,Dumki,31.9,0.601,Low,7,3,Medium
Barisal,Patuakhali,Galachipa,24.9,0.525,Medium,15,14,Medium
Barisal,Patuakhali,Kalapara,25.9,0.555,Medium,29,13,Medium
Barisal,Patuakhali,Mirzaganj,33.8,0.581,Medium,10,5,Medium
Barisal,Patuakhali,Patuakhali Sadar,15.3,0.615,Medium,26,10,High
Barisal,Patuakhali,Rangabali,29.5,0.586,Low,4,5,Medium
Barisal,Pirojpur,Bhandaria,22.4,0.614,Medium,15,8,Medium
Barisal,Pirojpur,Kawkhali,17.8,0.58,Low,9,4,High
Barisal,Pirojpur,Mathbaria,31.2,0.553,Low,21,8,Medium
Barisal,Pirojpur,Nazirpur,30.9,0.597,Medium,7,12,Medium
Barisal,Pirojpur,Pirojpur Sadar,30.7,0.613,Low,11,13,Medium
Barisal,Pirojpur,Nesarabad,37.6,0.603,Medium,9,6,Low
Barisal,Pirojpur,Zianagar,25.8,0.583,Low,6,4,Medium
Chittagong,Bandarban,Ali Kadam,23.1,0.65,Low,3,1,Medium
Chittagong,Bandarban,Bandarban Sadar,19.3,0.693,Medium,10,6,High
Chittagong,Bandarban,Lama,23.4,0.618,Low,8,6,Medium
Chittagong,Bandarban,Naikhongchhari,15.3,0.635,Low,2,3,High
Chittagong,Bandarban,Rowangchhari,26.6,0.643,Low,2,3,Medium
Chittagong,Bandarban,Ruma,19.9,0.6,Medium,2,2,High
Chittagong,Bandarban,Thanchi,18.1,0.63,Low,2,1,High
Chittagong,Brahmanbaria,Akhaura,8.7,0.682,Medium,7,6,High
Chittagong,Brahmanbaria,Ashuganj,15.5,0.653,Low,17,12,High
Chittagong,Brahmanbaria,Bancharampur,5.0,0.675,Low,14,14,High
Chittagong,Brahmanbaria,Bijoynagar,21.2,0.607,Low,18,6,Medium
Chittagong,Brahmanbaria,Brahmanbaria Sadar,19.5,0.636,Low,23,15,High
Chittagong,Brahmanbaria,Kasba,24.0,0.659,Low,29,17,Medium
