Division,District,Upazila,Labour Force (est.),Unemployment Rate (%),Agriculture Workers (%),Industry Workers (%),Service Workers (%),RMG Presence,Informal Economy (%),Child Labour (%),Overseas Migration
Barisal,Barguna,Amtali,102659,5.2,50.5,16.4,33.1,No,85.7,9.6,Low
Barisal,Barguna,Bamna,41087,2.3,46.2,9.0,44.8,No,78.6,8.6,Low
Barisal,Barguna,Barguna Sadar,110536,4.2,46.6,18.6,34.8,Some,73.2,7.1,Medium
Barisal,Barguna,Betagi,62443,6.4,45.8,16.1,38.1,No,72.2,9.2,Low
Barisal,Barguna,Patharghata,66766,6.0,65.2,10.2,24.6,No,76.4,7.1,Medium
Barisal,Barguna,Taltali,59639,4.5,53.3,16.5,30.2,No,76.9,8.0,Medium
Barisal,Barisal,Agailjhara,71618,6.7,45.7,16.0,38.3,No,78.2,9.0,Medium
Barisal,Barisal,Babuganj,73449,4.5,48.9,15.4,35.7,No,78.1,9.4,Medium
Barisal,Barisal,Bakerganj,167577,5.1,44.9,17.2,37.9,No,81.0,8.9,Medium
Barisal,Barisal,Banari Para,103464,4.1,35.9,21.7,42.4,No,85.2,8.5,Medium
Barisal,Barisal,Barisal Sadar,303847,4.5,18.2,41.7,40.1,Yes,69.7,4.5,Low
Barisal,Barisal,Gaurnadi,88821,3.1,41.3,20.6,38.1,Some,67.5,9.8,Medium
Barisal,Barisal,Hizla,63606,5.9,51.8,12.9,35.3,No,77.4,10.2,Low
Barisal,Barisal,Mehendiganj,157896,4.0,51.9,13.7,34.4,No,79.3,7.3,Medium
Barisal,Barisal,Muladi,94620,4.0,51.7,12.9,35.4,No,84.4,8.1,Low
Barisal,Barisal,Wazirpur,101466,4.8,43.2,18.7,38.1,No,70.5,9.6,Low
Barisal,Bhola,Bhola Sadar,189409,6.1,44.6,24.2,31.2,Some,74.6,7.6,Medium
Barisal,Bhola,Burhanuddin,112745,5.4,39.7,19.8,40.5,No,75.7,7.0,Low
Barisal,Bhola,Char Fasson,232264,4.3,45.6,11.9,42.5,No,71.8,6.9,Medium
Barisal,Bhola,Daulatkhan,81716,3.2,56.4,11.4,32.2,No,83.7,7.9,Medium
Barisal,Bhola,Lalmohan,132047,4.6,44.2,11.3,44.5,No,71.8,7.7,Medium
Barisal,Bhola,Manpura,46440,5.7,46.3,11.5,42.2,No,79.9,9.1,Low
Barisal,Bhola,Tazumuddin,70838,4.1,40.4,18.9,40.7,No,85.7,9.2,Low
Barisal,Jhalokati,Jhalokati Sadar,103507,4.9,35.7,13.0,51.3,Some,74.5,7.2,Medium
Barisal,Jhalokati,Kathalia,69847,5.1,50.3,17.9,31.8,No,80.7,8.6,Medium
Barisal,Jhalokati,Nalchity,62081,4.0,54.3,21.2,24.5,No,75.8,9.7,Medium
Barisal,Jhalokati,Rajapur,76887,5.3,42.4,17.9,39.7,No,82.7,10.3,Low
Barisal,Patuakhali,Bauphal,143604,6.1,40.7,5.0,54.3,No,83.9,10.1,Low
Barisal,Patuakhali,Dashmina,80038,2.7,43.6,7.6,48.8,No,84.3,7.2,Low
Barisal,Patuakhali,Dumki,50330,6.0,44.3,15.9,39.8,No,79.6,9.9,Low
Barisal,Patuakhali,Galachipa,145191,4.3,54.8,10.7,34.5,No,84.9,8.6,Medium
Barisal,Patuakhali,Kalapara,148407,3.9,44.7,19.0,36.3,No,83.4,10.5,Low
Barisal,Patuakhali,Mirzaganj,66315,5.3,58.7,17.8,23.5,No,82.4,8.1,Low
Barisal,Patuakhali,Patuakhali Sadar,149955,5.5,43.1,20.4,36.5,Some,79.9,7.2,Low
Barisal,Patuakhali,Rangabali,46886,4.5,42.2,14.3,43.5,No,76.6,8.5,Medium
Barisal,Pirojpur,Bhandaria,78973,5.3,49.9,16.0,34.1,No,70.4,10.1,Medium
Barisal,Pirojpur,Kawkhali,64386,3.5,41.5,11.8,46.7,No,74.8,10.6,Low
Barisal,Pirojpur,Mathbaria,123381,5.3,51.3,20.1,28.6,No,81.4,6.9,Medium
Barisal,Pirojpur,Nazirpur,95836,3.7,54.6,22.5,22.9,No,82.8,9.9,Low
Barisal,Pirojpur,Pirojpur Sadar,125879,5.3,39.8,24.7,35.5,Some,66.2,6.2,Medium
Barisal,Pirojpur,Nesarabad,92618,4.9,49.9,11.9,38.2,No,80.3,10.2,Medium
Barisal,Pirojpur,Zianagar,70774,5.4,44.5,18.3,37.2,No,81.8,10.7,Low
Chittagong,Bandarban,Ali Kadam,28791,4.4,56.3,8.4,35.3,No,87.1,11.2,Medium
Chittagong,Bandarban,Bandarban Sadar,58601,3.0,36.5,32.2,31.3,Some,75.9,8.0,Low
Chittagong,Bandarban,Lama,61342,5.5,47.1,5.0,47.9,No,75.9,10.2,Medium
Chittagong,Bandarban,Naikhongchhari,31948,3.6,48.8,11.7,39.5,No,78.3,10.6,Medium
Chittagong,Bandarban,Rowangchhari,24481,3.7,67.7,13.3,19.0,No,85.1,9.5,Low
Chittagong,Bandarban,Ruma,22438,2.0,51.1,14.7,34.2,No,78.5,9.0,Low
Chittagong,Bandarban,Thanchi,17781,5.3,50.5,8.8,40.7,No,78.9,9.1,Low
Chittagong,Brahmanbaria,Akhaura,101234,4.1,36.3,26.6,37.1,Yes,70.7,5.4,Low
Chittagong,Brahmanbaria,Ashuganj,109748,4.7,45.7,21.2,33.1,Yes,68.8,5.3,Medium
Chittagong,Brahmanbaria,Bancharampur,127055,3.0,45.5,10.9,43.6,No,80.2,10.3,Low
Chittagong,Brahmanbaria,Bijoynagar,100193,4.4,51.6,15.6,32.8,No,76.6,10.6,Low
Chittagong,Brahmanbaria,Brahmanbaria Sadar,215891,5.8,31.8,28.0,40.2,Yes,83.0,6.6,Medium
Chittagong,Brahmanbaria,Kasba,156692,4.7,42.2,16.1,41.7,Some,79.0,9.0,Low
Chittagong,Brahmanbaria,Nabinagar,174397,5.1,45.5,17.8,36.7,No,83.8,7.1,Low
Chittagong,Brahmanbaria,Nasirnagar,143496,4.3,53.1,7.2,39.7,No,75.5,10.6,Low
Chittagong,Brahmanbaria,Sarail,126852,3.3,39.9,16.5,43.6,No,77.4,10.1,Low
Chittagong,Chandpur,Chandpur Sadar,184557,5.9,33.8,16.7,49.5,Some,78.0,5.3,Medium
Chittagong,Chandpur,Faridganj,141779,4.3,36.3,15.8,47.9,No,81.0,6.8,Low
Chittagong,Chandpur,Haimchar,70975,6.8,55.6,12.6,31.8,No,75.2,9.0,Low
Chittagong,Chandpur,Haziganj,114331,4.8,43.6,10.9,45.5,No,82.5,9.3,Medium
Chittagong,Chandpur,Kachua,132644,4.4,41.7,19.6,38.7,No,75.7,6.7,Medium
Chittagong,Chandpur,Matlab Dakshin,112193,5.2,45.7,13.6,40.7,No,86.0,10.4,Medium
Chittagong,Chandpur,Matlab Uttar,120832,2.0,48.6,16.8,34.6,No,78.0,8.4,Medium
Chittagong,Chandpur,Shahrasti,101326,5.7,58.5,12.7,28.8,No,71.8,10.5,Medium
Chittagong,Chittagong,Anwara,126787,2.9,28.6,23.0,48.4,Some,77.1,6.5,Low
Chittagong,Chittagong,Banshkhali,197986,5.6,38.6,24.1,37.3,No,77.2,10.1,Medium
Chittagong,Chittagong,Boalkhali,130317,4.4,45.5,18.0,36.5,Some,82.3,9.0,Medium
Chittagong,Chittagong,Chandanaish,111741,4.7,49.0,16.9,34.1,No,67.6,9.4,Low
Chittagong,Chittagong,Chittagong Sadar,505606,4.1,11.2,50.8,38.0,Yes,66.0,3.4,Low
Chittagong,Chittagong,Fatikchhari,229323,3.9,41.9,18.9,39.2,No,80.9,10.0,Medium
