Division,District,Upazila,Smartphone Users (%),Mobile Financial Services (%),E-Commerce Activity,Digital Service Centres,Internet Cafes,Online Banking Users (%),Registered Freelancers,4G Coverage,MFS Agent Points
Barisal,Barguna,Amtali,36.4,59.2,Low,2,5,30.4,33,Partial,48
Barisal,Barguna,Bamna,37.0,59.4,Low,1,0,29.8,5,Limited,19
Barisal,Barguna,Barguna Sadar,45.3,62.2,Low,3,4,25.6,19,Partial,39
Barisal,Barguna,Betagi,36.7,56.3,Low,1,0,24.9,12,Limited,30
Barisal,Barguna,Patharghata,39.8,63.1,Low,1,1,19.9,10,Partial,30
Barisal,Barguna,Taltali,31.1,65.9,Low,1,0,27.2,2,Limited,29
Barisal,Barisal,Agailjhara,29.1,60.6,Low,1,0,10.9,3,Limited,41
Barisal,Barisal,Babuganj,29.0,57.0,Low,1,4,18.6,18,Partial,31
Barisal,Barisal,Bakerganj,29.7,70.2,Low,4,9,27.5,36,Partial,102
Barisal,Barisal,Banari Para,41.8,63.5,Low,3,0,20.9,26,Limited,53
Barisal,Barisal,Barisal Sadar,72.1,74.1,High,8,7,37.0,515,Full,138
Barisal,Barisal,Gaurnadi,43.0,53.7,Low,2,4,25.4,17,Partial,35
Barisal,Barisal,Hizla,35.5,55.1,Low,1,0,21.2,10,Limited,39
Barisal,Barisal,Mehendiganj,28.2,56.7,Low,3,0,9.6,14,Limited,57
Barisal,Barisal,Muladi,50.0,46.7,Low,2,3,20.8,22,Partial,43
Barisal,Barisal,Wazirpur,42.2,65.7,Low,2,4,25.6,29,Partial,47
Barisal,Bhola,Bhola Sadar,40.3,59.6,Low,5,10,38.7,92,Partial,61
Barisal,Bhola,Burhanuddin,30.5,69.0,Low,2,2,30.5,38,Partial,65
Barisal,Bhola,Char Fasson,32.1,67.9,Low,6,0,15.7,49,Limited,129
Barisal,Bhola,Daulatkhan,47.4,52.6,Low,2,2,21.3,20,Partial,39
Barisal,Bhola,Lalmohan,45.4,64.3,Low,4,3,24.4,12,Partial,78
Barisal,Bhola,Manpura,28.1,55.8,Low,1,0,22.6,2,Limited,28
Barisal,Bhola,Tazumuddin,37.0,75.5,Low,1,0,20.2,16,Limited,41
Barisal,Jhalokati,Jhalokati Sadar,38.4,58.6,Low,2,2,24.8,26,Partial,45
Barisal,Jhalokati,Kathalia,47.0,70.5,Low,2,0,16.8,4,Limited,23
Barisal,Jhalokati,Nalchity,31.3,40.3,Low,1,0,23.2,9,Limited,26
Barisal,Jhalokati,Rajapur,36.0,62.1,Low,2,0,24.1,3,Limited,35
Barisal,Patuakhali,Bauphal,43.9,68.4,Low,3,0,25.0,38,Limited,88
